product_id,product_name,main_category,rating_num,rating_count_num,review_length_chars,vader_negative_score,vader_neutral_score,vader_positive_score,vader_compound_score,vader_sentiment_label,baseline_sentiment_score,baseline_sentiment_label,dominant_topic,label_agreement
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers&Accessories,4.2,94363.0,443,0.028,0.8,0.172,0.8316,positive,1.0,positive,Charging & Power,True
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,4.4,426973.0,901,0.044,0.704,0.253,0.9921,positive,1.0606601717798212,positive,Charging & Power,True
B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories,4.2,2262.0,766,0.04,0.691,0.269,0.9877,positive,1.2567574357593625,positive,Charging & Power,True
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories,4.1,4768.0,694,0.025,0.768,0.207,0.9719,positive,1.3,positive,Charging & Power,True
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories,4.4,18757.0,439,0.038,0.658,0.304,0.9698,positive,1.3245323570650438,positive,Charging & Power,True
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Electronics,4.2,32840.0,759,0.123,0.613,0.264,0.9625,positive,1.1881770515720091,positive,Product Quality & Durability,True
B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Computers&Accessories,4.0,43994.0,1186,0.01,0.821,0.169,0.9853,positive,1.4362649974350634,positive,Charging & Power,True
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",Computers&Accessories,4.1,13045.0,839,0.097,0.824,0.079,-0.1887,negative,0.4602873089491617,positive,Charging & Power,False
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Electronics,4.3,11976.0,434,0.108,0.678,0.214,0.875,positive,1.221694443563052,positive,Product Quality & Durability,True
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,4.5,815.0,600,0.0,0.631,0.369,0.9918,positive,2.060839349277234,positive,Product Quality & Durability,True
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",Electronics,3.7,10962.0,839,0.066,0.843,0.09,0.1729,positive,0.4622501635210242,positive,Product Quality & Durability,True
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),Electronics,4.3,16299.0,549,0.17,0.745,0.085,-0.8476,negative,-0.2264554068289191,negative,Product Quality & Durability,True
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories,4.0,9378.0,505,0.0,0.713,0.287,0.9817,positive,0.9428090415820636,positive,Charging & Power,True
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),Electronics,4.3,4703.0,4919,0.05,0.782,0.168,0.9988,positive,1.4724700907550443,positive,Compatibility & Usability,True
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),Electronics,4.2,12153.0,1181,0.054,0.782,0.164,0.9816,positive,0.9607689228305228,positive,Product Quality & Durability,True
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),Electronics,4.2,34899.0,3945,0.062,0.78,0.157,0.9966,positive,0.8444006618414982,positive,Price & Value,True
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories,4.0,2766.0,943,0.066,0.833,0.101,0.7626,positive,0.0,neutral,Charging & Power,False
B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,4.4,184.0,555,0.0,0.788,0.212,0.9686,positive,2.2391714737574007,positive,Product Quality & Durability,True
B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories,4.3,20850.0,836,0.013,0.781,0.206,0.9849,positive,1.7795130420052183,positive,Charging & Power,True
B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",Computers&Accessories,4.5,74976.0,1254,0.019,0.881,0.1,0.9387,positive,0.8387421368293257,positive,Charging & Power,True
B09CMM3VGK,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",Computers&Accessories,4.0,1934.0,1092,0.047,0.812,0.141,0.9695,positive,0.8669214468630108,positive,Charging & Power,True
B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Computers&Accessories,4.3,974.0,546,0.029,0.742,0.229,0.96,positive,0.9058216273156764,positive,Charging & Power,True
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories,4.3,355.0,555,0.0,0.707,0.293,0.9771,positive,1.4444444444444444,positive,Charging & Power,True
B0B4HJNPV4,"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",Computers&Accessories,3.9,1075.0,468,0.023,0.827,0.15,0.836,positive,0.5933908290969266,positive,Charging & Power,True
B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",Computers&Accessories,3.9,24871.0,274,0.087,0.573,0.34,0.6611,positive,1.2977713690461004,positive,Charging & Power,True
B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",Computers&Accessories,4.4,13552.0,1086,0.034,0.695,0.271,0.9934,positive,1.4411533842457842,positive,Charging & Power,True
B09RZS1NQT,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices – Red, 1 Meter",Computers&Accessories,4.0,576.0,915,0.049,0.701,0.25,0.9906,positive,0.9722718241315028,positive,Charging & Power,True
B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),Electronics,4.2,7298.0,4937,0.119,0.784,0.097,-0.9821,negative,0.534133315601561,positive,Product Quality & Durability,False
B09C6HWG18,"Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). USB C to C Cable, Supports PD & QC 3.0 Charging, 5 GBPS Data Transmission – Black",Computers&Accessories,4.2,462.0,1066,0.045,0.754,0.201,0.9839,positive,1.459992790176863,positive,Charging & Power,True
B00NH11KIK,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",Computers&Accessories,4.5,107687.0,569,0.046,0.852,0.102,0.5499,positive,1.1043152607484654,positive,Compatibility & Usability,True
B09JPC82QC,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Electronics,4.3,27151.0,13253,0.056,0.78,0.164,0.9998,positive,1.1352524534314692,positive,Product Quality & Durability,True
B07JW1Y6XV,"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipad (3 FT Pack of 1, Black)",Computers&Accessories,4.2,24269.0,483,0.032,0.744,0.224,0.9033,positive,1.3339459376998313,positive,Charging & Power,True
B07KRCW6LZ,"TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapter for PC Desktop Laptop, Mini Travel Size, Supports Windows 11,10, 8.1, 8, 7, XP/Mac OS 10.9-10.15",Computers&Accessories,4.3,12093.0,964,0.049,0.77,0.181,0.969,positive,0.7717436331412897,positive,Compatibility & Usability,True
B09NJN8L25,"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Data Sync, Solid Cable, 1 Meter Long USB Cable for Micro USB Devices (White)(XCD-M11)",Computers&Accessories,4.0,9378.0,505,0.0,0.713,0.287,0.9817,positive,0.9428090415820636,positive,Charging & Power,True
B07XJYYH7L,"Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone, Ios And Type C Usb Devices, 3 In 1 Charging Cable, 3A, (3 Feet) (Black)",Computers&Accessories,3.3,9792.0,533,0.046,0.927,0.027,-0.1531,negative,-0.2294157338705617,negative,Charging & Power,True
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories,4.1,8131.0,483,0.049,0.787,0.164,0.8718,positive,0.9847319278346618,positive,Compatibility & Usability,True
B014I8SSD0,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",Electronics,4.4,426973.0,901,0.044,0.704,0.253,0.9921,positive,1.0606601717798212,positive,Charging & Power,True
B09L8DSSFH,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED and Suitable for 6 7 8 Series Samsung TV with Hot Keys BN59-01259E,Electronics,3.6,493.0,936,0.052,0.773,0.174,0.9612,positive,0.3549426037664455,positive,Charging & Power,True
B07232M876,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",Computers&Accessories,4.2,92595.0,8642,0.048,0.826,0.127,0.9989,positive,0.6437963064592142,positive,Charging & Power,True
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",Computers&Accessories,4.4,24780.0,3226,0.055,0.848,0.098,0.9846,positive,0.7055406512876979,positive,Compatibility & Usability,True
B0711PVX6Z,"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",Computers&Accessories,4.2,92595.0,8642,0.048,0.826,0.127,0.9989,positive,0.6437963064592142,positive,Charging & Power,True
B082T6V3DT,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (6-Ft, Rose Gold)",Computers&Accessories,4.3,8188.0,1141,0.015,0.815,0.169,0.9893,positive,0.6209204205650662,positive,Charging & Power,True
B07MKFNHKG,VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),Electronics,4.2,4003.0,2206,0.042,0.871,0.087,0.9516,positive,0.691668501245082,positive,Product Quality & Durability,True
B0BFWGBX61,"Ambrane Unbreakable 3A Fast Charging Braided Type C Cable    1.5 Meter (RCT15, Blue) Supports QC 2.0/3.0 Charging",Computers&Accessories,4.1,314.0,613,0.059,0.71,0.231,0.9562,positive,0.7977240352174656,positive,Charging & Power,True
B01N90RZ4M,Tata Sky Universal Remote,Electronics,3.7,2960.0,336,0.05,0.811,0.139,0.5719,positive,0.1443375672974064,positive,Product Quality & Durability,True
B0088TKTY2,"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",Computers&Accessories,4.2,179691.0,3989,0.041,0.828,0.132,0.9956,positive,0.6472977780031546,positive,Compatibility & Usability,True
B09Q5SWVBJ,OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),Electronics,4.2,34899.0,3945,0.062,0.78,0.157,0.9966,positive,0.8444006618414982,positive,Price & Value,True
B0B4DT8MKT,"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 Mtr Long, Type C cable, Micro Usb Cable and Cable for iPhone, White",Computers&Accessories,4.2,656.0,624,0.035,0.78,0.185,0.9651,positive,0.8207826816681233,positive,Charging & Power,True
B08CDKQ8T6,"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey)",Computers&Accessories,4.3,7064.0,513,0.0,0.842,0.158,0.8719,positive,1.4142135623730951,positive,Charging & Power,True
B07B275VN9,"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)",Electronics,3.7,2201.0,457,0.022,0.822,0.156,0.8854,positive,0.7120689949163119,positive,Compatibility & Usability,True
B0B15CPR37,Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),Electronics,4.3,7109.0,4728,0.047,0.8,0.152,0.9984,positive,0.9070314577338638,positive,Product Quality & Durability,True
B0994GFWBH,Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,Computers&Accessories,4.0,1313.0,1326,0.063,0.855,0.081,0.1181,positive,0.8846517369293828,positive,Charging & Power,True
B01GGKZ0V6,AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,Computers&Accessories,4.2,29746.0,639,0.056,0.78,0.164,0.9291,positive,0.8081220356417685,positive,Charging & Power,True
B09F9YQQ7B,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),Electronics,4.2,45238.0,1188,0.069,0.75,0.181,0.9836,positive,1.0,positive,Product Quality & Durability,True
B014I8SX4Y,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",Electronics,4.4,426973.0,901,0.044,0.704,0.253,0.9921,positive,1.0606601717798212,positive,Charging & Power,True
B09Q8HMKZX,"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangle Resistant, Fast Data Sync(Grey)",Computers&Accessories,4.1,450.0,1046,0.022,0.753,0.225,0.9896,positive,1.5158734579197342,positive,Charging & Power,True
B0B9XN9S3W,Acer 80 cm (32 inches) N Series HD Ready TV AR32NSV53HD (Black),Electronics,4.3,457.0,1578,0.033,0.833,0.134,0.9657,positive,1.442285921461235,positive,Price & Value,True
B07966M8XH,"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma TV's",Electronics,4.2,2727.0,464,0.0,0.774,0.226,0.96,positive,1.7364862842489186,positive,Product Quality & Durability,True
B01GGKYKQM,"Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters), Black",Computers&Accessories,4.3,20053.0,668,0.0,0.793,0.207,0.9815,positive,1.0206207261596576,positive,Charging & Power,True
B0B86CDHL1,"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing, Nylon Braided 1M length with LED Indicator Compatible For Laptop, Macbook, Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",Computers&Accessories,4.5,149.0,1508,0.051,0.849,0.099,0.9129,positive,1.2450860349589343,positive,Charging & Power,True
B0B5ZF3NRK,"CEDO 65W OnePlus Dash Warp Charge Cable, USB A to Type C Data Sync Fast Charging Cable Compatible with One Plus 3 /3T /5 /5T /6 /6T /7 /7T /7 pro & for All Type C Devices - 1 Meter, Red",Computers&Accessories,4.1,210.0,481,0.016,0.766,0.218,0.9477,positive,2.528102914801153,positive,Charging & Power,True
B09RFC46VP,Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),Electronics,4.2,45238.0,1188,0.069,0.75,0.181,0.9836,positive,1.0,positive,Product Quality & Durability,True
B08R69VDHT,"Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable, USB Charging Cable for Data Transfer Perfect for Android Smart Phones White 1.2 Meter Made in India (Pack of 2)",Computers&Accessories,4.0,7732.0,770,0.035,0.789,0.176,0.9691,positive,0.6499336836196815,positive,Charging & Power,True
B09RWZRCP1,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Rebellious Black)",Computers&Accessories,4.1,1780.0,2466,0.051,0.808,0.14,0.9929,positive,1.4210526315789471,positive,Charging & Power,True
B09CMP1SC8,"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Technology & Quick Charge 3.0, Compatible with All Type-C & Micro USB Devices (ABDC-10, Black)",Computers&Accessories,4.1,602.0,1385,0.053,0.735,0.212,0.9924,positive,1.3606182606749224,positive,Charging & Power,True
B09YLXYP7Y,"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, Black)",Computers&Accessories,4.0,1423.0,317,0.026,0.676,0.298,0.9511,positive,1.829982843991256,positive,Charging & Power,True
B09ZPM4C2C,TCL 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32S5205 (Black),Electronics,4.1,398.0,675,0.02,0.859,0.122,0.886,positive,1.0540925533894598,positive,Product Quality & Durability,True
B0B2DJDCPX,"SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11, 12, 13 Pro max iPad Air/Mini, iPod and iOS Devices (White)",Computers&Accessories,3.9,536.0,325,0.037,0.769,0.194,0.8402,positive,1.1428571428571428,positive,Charging & Power,True
B0BCZCQTJX,Firestick Remote,Electronics,4.0,32.0,984,0.083,0.715,0.202,0.9786,positive,0.8574929257125441,positive,Compatibility & Usability,True
B07LGT55SJ,"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",Computers&Accessories,4.2,24269.0,483,0.032,0.744,0.224,0.9033,positive,1.3339459376998313,positive,Charging & Power,True
B09NKZXMWJ,"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Cable For Usb Type C Devices, Charging Adapter (White, 1 Meter) - Xcd-C12",Computers&Accessories,4.0,9378.0,529,0.0,0.713,0.287,0.9817,positive,0.9299811099505544,positive,Charging & Power,True
B08QX1CC14,SKYWALL 81.28 cm (32 inches) HD Ready Smart LED TV 32SWELS-PRO (Black),Electronics,3.4,902.0,604,0.07,0.734,0.195,0.9425,positive,0.8626621856275073,positive,Product Quality & Durability,True
B0974H97TJ,"boAt A 350 Type C Cable for Smartphone, Charging Adapter (1.5m, Carbon Black)",Computers&Accessories,4.4,28791.0,549,0.0,0.719,0.281,0.9829,positive,1.7320508075688772,positive,Charging & Power,True
B07GVGTSLN,"Wayona Usb Type C Fast Charger Cable Fast Charging Usb C Cable/Cord Compatible For Samsung Galaxy S10E S10 S9 S8 Plus S10+,Note 10 Note 9 Note 8,S20,M31S,M40,Realme X3,Pixel 2 Xl (3 Ft Pack Of 1,Grey)",Computers&Accessories,4.2,10576.0,905,0.032,0.805,0.163,0.9577,positive,0.953820966476532,positive,Charging & Power,True
B09VCHLSJF,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),Electronics,4.2,7298.0,4937,0.119,0.784,0.097,-0.9821,negative,0.534133315601561,positive,Product Quality & Durability,False
B0B1YZX72F,Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black),Electronics,4.3,4703.0,4919,0.05,0.782,0.168,0.9988,positive,1.4724700907550443,positive,Compatibility & Usability,True
B092BJMT8Q,Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black),Electronics,4.3,7109.0,4728,0.047,0.8,0.152,0.9984,positive,0.9070314577338638,positive,Product Quality & Durability,True
B0BMXMLSMM,"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Data Sync Cable Compatible with One Plus 10R / 9RT/ 9 pro/ 9R/ 8T/ 9/ Nord & for All Type C Devices – Red, 1 Meter",Computers&Accessories,4.5,127.0,914,0.044,0.662,0.294,0.9934,positive,1.7817416127494958,positive,Charging & Power,True
B07JH1C41D,"Wayona Nylon Braided (2 Pack) Lightning Fast Usb Data Cable Fast Charger Cord For Iphone, Ipad Tablet (3 Ft Pack Of 2, Grey)",Computers&Accessories,4.2,24269.0,459,0.032,0.744,0.224,0.9033,positive,1.35400640077266,positive,Charging & Power,True
B0141EZMAI,"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows, Mac OS & Linux Kernel | WPA/WPA2 Encryption Standards| Black",Computers&Accessories,3.6,10134.0,502,0.024,0.821,0.155,0.9036,positive,0.9494253265550826,positive,Compatibility & Usability,True
B09Q5P2MT3,OnePlus 108 cm (43 inches) Y Series Full HD Smart Android LED TV 43 Y1S (Black),Electronics,4.2,34899.0,3945,0.062,0.78,0.157,0.9966,positive,0.8444006618414982,positive,Price & Value,True
B08HDH26JX,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Mercurial Black)",Computers&Accessories,4.2,94363.0,443,0.028,0.8,0.172,0.8316,positive,1.0,positive,Charging & Power,True
B09VT6JKRP,Lapster USB 3.0 A to Micro B SuperSpeed for hard disk cable - short cable,Computers&Accessories,4.1,425.0,492,0.0,0.735,0.265,0.9636,positive,1.638576060745828,positive,Price & Value,True
B09T3KB6JZ,TCL 100 cm (40 inches) Full HD Certified Android R Smart LED TV 40S6505 (Black),Electronics,4.2,6659.0,2707,0.019,0.88,0.101,0.9879,positive,0.623008957981398,positive,Compatibility & Usability,True
B093QCY6YJ,"ZEBRONICS ZEB-USB150WF1 WiFi USB Mini Adapter Supports 150 Mbps Wireless Data, Comes with Advanced Security WPA/WPA2 encryption Standards",Computers&Accessories,3.7,1977.0,426,0.0,0.876,0.124,0.7933,positive,1.0242950394631678,positive,Compatibility & Usability,True
B093ZNQZ2Y,"LOHAYA Remote Compatible for Mi Smart LED TV 4A Remote Control (32""/43"") [ Compatible for Mi Tv Remote Control ] [ Compatible for Mi Smart LED Tv Remote Control ]",Electronics,3.8,1079.0,706,0.048,0.78,0.172,0.9401,positive,0.5050762722761054,positive,Compatibility & Usability,True
B08LKS3LSP,"Gilary Multi Charging Cable, 3 in 1 Nylon Braided Fast Charging Cable for iPhone Micro USB Type C Mobile Phone | Colour May Vary |",Computers&Accessories,3.7,1097.0,509,0.077,0.839,0.084,0.1546,positive,0.5933908290969266,positive,Charging & Power,True
B00V4BGDKU,TP-Link UE300 USB 3.0 to RJ45 Gigabit Ethernet Network Adapter - Plug and Play,Computers&Accessories,4.5,22420.0,1995,0.053,0.791,0.156,0.9919,positive,0.6657502859356828,positive,Compatibility & Usability,True
